MARCA;NOMBRE MODELO;AÑO MODELO;DESCRIPCIÓN MODELO
Toyota;Corolla;2020;Sedán compacto confiable y económico
Ford;Ranger;2022;Pick-up robusta para trabajo pesado
Chevrolet;Onix;2019;Hatchback moderno ideal para ciudad
Volkswagen;Golf GTI;2021;Hatchback deportivo de alto rendimiento
Renault;Kangoo;2018;Vehículo utilitario de carga liviana
Honda;Civic;2020;Sedán con excelente eficiencia y confort
Fiat;Cronos;2023;Sedán económico de fabricación regional
Peugeot;208;2021;Hatchback con diseño moderno y buen equipamiento
Nissan;Frontier;2022;Pick-up todo terreno con gran durabilidad
Hyundai;Tucson;2021;SUV mediana con buen equilibrio entre confort y tecnología
